,지수,GDP,고용,고용,고용,고용,소비,소비,소비,산업 및 생산,산업 및 생산,산업 및 생산,산업 및 생산,주택 및 건설,주택 및 건설,주택 및 건설,주택 및 건설,주택 및 건설,금융,금융,금융,금융,해외,해외,해외,부채 및 연준,부채 및 연준,부채 및 연준,부채 및 연준,금리
날짜,S&P 500 지수,실질 국내총생산,비농업 취업자 수,실업률,월별 시간당 임금,주당 실업수당 신청건수,소매판매,미시간 소비자 심리지수,개인 소득,산업생산,설비가동률,기업재고,ISM 제조업 PMI,주택 건설허가건수,Case-Shiller 주택가격지수,NAHB 주택시장지수,MBA 구매지수,MBA 재융자지수,장단기 금리 (10년-3개월),M2 통화승수,M2 통화속도,은행 지급준비금,수입,수출,순수출,가계부채/GDP,비금융 기업부채/GDP,정부부채/GDP,연준 자산/GDP,기준금리
2022년 11월,"4,080.11",,3.36%,3.6%,5.09%,210.75K,5.53%,56.7,5.91%,0.09%,78.15%,16.83%,49,-20.62%,8.6,31,-36.52,-84.54,-0.69%,3.95K,,3.13K,,,,,,,,3.78%
2022년 12월,"3,839.50",,3.02%,3.5%,4.94%,208.20K,5.13%,59.8,6.01%,-0.80%,77.13%,14.44%,48.4,-26.52%,6.8,35,-30.06,-75.93,-0.54%,3.94K,,3.11K,,,,,,,,4.10%
2023년 01월,"4,076.60",2.31%,3.18%,3.5%,4.49%,204.50K,7.72%,64.9,6.80%,0.32%,77.60%,12.36%,47.4,-26.56%,4.6,42,-38.77,-74.57,-1.18%,3.99K,1.29,3.03K,-0.87%,7.69%,-24.23%,71.67,48.88K,115.59%,31.12,4.33%
2023년 02월,"3,970.15",,2.81%,3.6%,4.77%,214.75K,5.34%,66.9,6.76%,-0.16%,77.61%,10.17%,47.7,-12.87%,2.5,44,-35.34,-61.05,-0.96%,3.99K,,3.02K,,,,,,,,4.57%
2023년 03월,"4,109.31",,2.52%,3.5%,4.62%,229.00K,2.16%,62.0,6.90%,-0.37%,77.80%,7.5%,46.3,-20.77%,0.4,45,-27.95,-50.83,-1.37%,3.76K,,3.26K,,,,,,,,4.65%
2023년 04월,"4,169.48",2.79%,2.47%,3.4%,4.6%,216.40K,1.56%,63.7,7.05%,-0.18%,77.89%,6.14%,47.1,-20.71%,-1.1,50,-31.53,-48.11,-1.66%,3.71K,1.32,3.27K,-6.75%,-2.51%,-19.94%,72.27,48.49K,117.44%,31.1,4.83%
2023년 05월,"4,179.83",,2.46%,3.6%,4.36%,226.00K,2.13%,59.0,7.13%,-0.40%,77.55%,4.14%,46.9,-7.57%,-1.7,55,-29.95,-39.51,-1.88%,3.74K,,3.24K,,,,,,,,5.06%
2023년 06월,"4,450.38",,2.31%,3.6%,4.66%,250.75K,1.65%,64.2,7.02%,-0.89%,76.85%,2.51%,46,-15.72%,-1.7,56,-22.87,-29.6,-1.62%,3.71K,,3.27K,,,,,,,,5.08%
2023년 07월,"4,588.96",3.23%,1.94%,3.5%,4.67%,235.20K,2.86%,71.5,6.38%,-0.31%,77.38%,1.62%,46.4,-10.63%,-1.2,50,-27.22,-27.63,-1.58%,3.77K,1.35,3.18K,-3.44%,-1.5%,-10.53%,72.91,47.66K,118.14%,29.36,5.12%
2023년 08월,"4,507.66",,1.89%,3.7%,4.47%,245.00K,3.19%,69.4,6.18%,-0.25%,77.26%,1.11%,47.6,0.26%,0.1,44,-27.35,-21.45,-1.47%,3.74K,,3.23K,,,,,,,,5.33%
2023년 09월,"4,288.05",,1.85%,3.7%,4.42%,218.60K,4.16%,67.8,5.99%,-0.27%,77.34%,1.11%,49,-3.94%,2.1,40,-21.51,-8.31,-0.96%,3.73K,,3.24K,,,,,,,,5.33%
2023년 10월,"4,193.80",3.39%,1.71%,3.9%,4.22%,210.25K,2.61%,63.8,5.67%,-0.77%,76.86%,0.46%,46.7,-4.14%,3.9,34,-19.94,0.71,-0.71%,3.7K,1.37,3.28K,-0.27%,1.7%,-7.36%,73.51,47.06K,119.62%,27.82,5.33%
2023년 11월,"4,567.80",,1.60%,3.7%,4.11%,218.00K,3.92%,61.3,5.87%,-0.09%,77.11%,-0.11%,46.7,7.28%,4.9,37,-18.52,17.82,-1.08%,3.62K,,3.4K,,,,,,,,5.33%
2023년 12월,"4,769.83",,1.63%,3.8%,4.1%,207.80K,5.3%,69.7,5.90%,0.84%,76.86%,-0.08%,47.1,7.73%,5.4,44,-26.39,-6.95,-1.52%,3.57K,,3.49K,,,,,,,,5.33%
2024년 01월,"4,845.65",2.86%,1.46%,3.7%,4.39%,211.50K,0.03%,79.0,6.09%,-1.28%,75.75%,-0.25%,49.1,9.57%,6.2,48,-16.87,-7.2,-1.43%,3.57K,1.37,3.51K,2.74%,2.55%,3.47%,70.02,47.18K,120.48%,26.58,5.33%
2024년 02월,"5,096.27",,1.40%,3.9%,4.13%,210.00K,1.95%,76.9,5.89%,-0.35%,76.52%,0.25%,47.8,-2.53%,6.6,51,-15.63,-8.62,-1.20%,3.55K,,3.57K,,,,,,,,5.33%
2024년 03월,"5,254.35",,1.50%,3.9%,4.15%,215.20K,3.39%,79.4,5.81%,-0.56%,76.60%,0.21%,50.3,-0.27%,7.3,51,-14.73,3.3,-1.26%,3.57K,,3.54K,,,,,,,,5.33%
2024년 04월,"5,035.69",3.13%,1.39%,3.9%,3.98%,210.25K,2.55%,77.2,5.70%,-1.00%,76.38%,0.55%,49.2,-1.02%,7.5,45,-10.36,12.44,-0.77%,3.63K,1.39,3.43K,7.17%,5.85%,12.15%,70.56,47.04K,119.5%,25.4,5.33%
2024년 05월,"5,277.51",,1.25%,3.9%,4.15%,222.00K,2.8%,69.1,5.71%,-0.06%,76.80%,1.17%,48.7,-10.67%,7.2,43,-13.21,25.77,-0.95%,3.67K,,3.38K,,,,,,,,5.33%
2024년 06월,"5,460.48",,1.16%,4.1%,3.92%,234.80K,2.26%,68.2,5.72%,0.77%,76.76%,1.59%,48.5,-0.20%,6.9,42,-16.58,28.39,-1.12%,3.68K,,3.38K,,,,,,,,5.33%
2024년 07월,"5,522.30",2.79%,1.09%,4.2%,3.63%,237.25K,3.01%,66.4,5.57%,-0.92%,75.99%,2.11%,46.8,-5.65%,6.5,39,-9.04,85.16,-1.32%,3.73K,1.39,3.3K,9.02%,5.66%,22.57%,71.15,46.88K,120.17%,24.32,5.33%
2024년 08월,"5,648.40",,0.96%,4.2%,3.92%,230.60K,1.79%,67.9,5.37%,-0.41%,76.27%,2.13%,47.2,-5.45%,5.92,41,2.35,175.18,-1.30%,3.74K,,3.32K,,,,,,,,5.33%
2024년 09월,"5,762.48",,0.96%,4.1%,3.91%,224.50K,1.98%,70.1,5.32%,-1.20%,75.72%,1.92%,47.2,-6.70%,5.2,43,8.5,77.97,-0.92%,3.81K,,3.24K,,,,,,,,5.13%
2024년 10월,"5,705.45",2.40%,0.87%,4.1%,4.05%,236.25K,3.23%,70.5,5.46%,-0.99%,75.39%,2.23%,46.5,-6.54%,4.6,46,5.52,53.05,-0.36%,3.83K,1.39,3.21K,7.42%,4.46%,19.11%,70.99,45.94K,121.44%,23.52,4.83%
2024년 11월,"6,032.38",,0.88%,4.2%,4.18%,219.20K,3.87%,71.8,5.34%,-1.56%,75.17%,2.66%,48.4,0.33%,4.2,46,5.65,41.11,-0.40%,3.82K,,3.26K,,,,,,,,4.64%
2024년 12월,"5,881.63",,0.93%,4.1%,4.08%,222.75K,4.52%,74.0,5.27%,-0.27%,75.87%,1.82%,49.2,-2.57%,4.3,47,5.11,16.9,0.21%,3.83K,,3.24K,,,,,,,,4.48%
2025년 01월,"6,040.53",2.02%,0.79%,4.0%,3.97%,215.00K,4.53%,71.7,4.95%,0.85%,75.58%,2.48%,50.9,-5.50%,4.5,42,3.76,44.61,0.27%,3.84K,1.39,3.26K,14.34%,4.09%,53.76%,67.95,46.06K,120.55%,22.7,4.33%
2025년 02월,"5,954.50",,0.68%,4.2%,4.11%,225.00K,3.89%,64.7,5.03%,0.81%,76.27%,2.26%,50.3,-7.80%,4.7,39,6.93,63.25,-0.08%,3.85K,,3.26K,,,,,,,,4.33%
2025년 03월,"5,611.85",,0.58%,4.2%,4.21%,223.00K,5.08%,57.0,5.20%,0.58%,76.13%,2.5%,49,0.34%,4.5,40,1.66,37.3,-0.09%,3.76K,,3.41K,,,,,,,,4.33%
2025년 04월,"5,569.06",2.08%,0.61%,4.2%,3.91%,225.75K,4.97%,52.2,5.55%,0.88%,76.10%,2.17%,48.7,-2.54%,4.1,34,17.12,36.72,-0.14%,3.8K,1.4,3.35K,1.96%,2.35%,0.61%,68.55,45.8K,118.78%,22.01,4.33%
2025년 05월,"5,911.69",,0.56%,4.3%,3.98%,231.80K,3.37%,52.2,4.51%,0.10%,75.89%,1.71%,48.5,-0.92%,3.4,32,11.77,29.15,0.05%,3.87K,,3.26K,,,,,,,,4.33%
2025년 06월,"6,204.95",,0.50%,4.1%,3.86%,239.00K,4.42%,60.7,4.30%,0.58%,76.18%,1.61%,49,-4.65%,2.8,33,17.17,29.54,-0.17%,3.82K,,3.36K,,,,,,,,4.33%
2025년 07월,"6,339.39",2.34%,0.50%,4.3%,3.96%,221.50K,4.13%,61.7,4.80%,1.92%,76.40%,1.39%,48,-5.15%,2.2,32,24.28,18.61,-0.04%,3.84K,1.41,3.34K,-1.7%,3.39%,-19.37%,,45.4K,121.03%,21.36,4.33%
2025년 08월,"6,460.26",,0.45%,4.3%,3.98%,229.60K,4.97%,58.2,5.06%,1.19%,76.11%,1.05%,48.7,-9.89%,1.8,32,17.75,42.1,0.00%,3.88K,,3.28K,,,,,,,,4.33%
2025년 09월,"6,688.46",,0.40%,4.4%,3.85%,234.00K,4.14%,55.1,5.10%,1.86%,76.05%,1.27%,49.1,-1.32%,1.6,37,19.23,110.76,0.14%,4.05K,,3.07K,,,,,,,,4.22%
2025년 10월,"6,840.20",1.99%,0.29%,,3.92%,226.75K,3.21%,53.6,4.67%,1.76%,75.62%,1.35%,48.7,-1.19%,1.4,38,18.77,117.34,0.22%,4.15K,1.41,2.94K,-1.23%,3.15%,-16.37%,,45.14K,122.57%,20.96,4.09%
2025년 11월,"6,849.09",,0.23%,4.5%,3.93%,222.40K,3.21%,51.0,4.63%,1.80%,75.42%,1.15%,48.2,-7.96%,1.3,39,8.15,75.6,0.14%,4.21K,,2.88K,,,,,,,,3.88%
2025년 12월,"6,845.50",,0.07%,4.4%,3.73%,219.25K,2.43%,52.9,4.51%,1.28%,75.73%,1.45%,47.9,-1.69%,1.4,37,19.03,155.75,0.51%,4.17K,,2.94K,,,,,,,,3.72%
2026년 01월,"6,939.03",,0.20%,4.3%,3.66%,211.80K,3.19%,56.4,4.34%,1.53%,75.66%,0.96%,52.6,-5.07%,1.4,37,13.07,150.29,0.59%,4.16K,,2.97K,,,,,,,,3.64%
2026년 02월,"6,878.88",,0.09%,4.4%,3.76%,215.75K,3.71%,56.6,3.72%,1.23%,76.14%,,52.4,,1.2,38,5.01,52.18,0.30%,4.21K,,2.96K,,,,,,,,3.64%
2026년 03월,"6,528.52",,0.16%,4.3%,3.52%,208.00K,,53.3,,0.74%,75.66%,,52.7,,,34,8.8,48.97,0.60%,,,,,,,,,,,3.64%
2026년 04월,"7,142.79",,,,,213.33K,,,,,,,,,,,,,0.65%,,,,,,,,,,,
